ID_Experimento,Imagen_Original,ClipLimit,TileSize,Entropia,Contraste_Local_Promedio,Nitidez_Borde,Contraste_Michelson
1,imagen_original.png,1.0,8,6.9200716,1.3786966,19.23226225286127,17.142857142857142
2,imagen_original.png,1.0,16,6.896471,1.4157708,19.7811690341334,15.933333333333334
3,imagen_original.png,1.0,32,6.7784333,1.3667228,19.256374041514412,13.941176470588236
4,imagen_original.png,1.5,8,6.929539,1.6210071,21.9054061497803,18.53846153846154
5,imagen_original.png,1.5,16,6.8860574,1.6863236,22.85361584754597,17.142857142857142
6,imagen_original.png,1.5,32,6.8151255,1.6718502,22.889390213381347,15.933333333333334
7,imagen_original.png,2.0,8,6.9352636,1.8547899,24.443183714977028,20.166666666666668
8,imagen_original.png,2.0,16,6.8955865,1.9419707,25.727860855406036,15.933333333333334
9,imagen_original.png,2.0,32,6.854244,1.9552603,26.161918096420607,15.933333333333334
10,imagen_original.png,2.5,8,6.954094,2.0819695,26.834726726577326,20.166666666666668
11,imagen_original.png,2.5,16,6.894959,2.1956964,28.471669371713194,15.933333333333334
12,imagen_original.png,2.5,32,6.872521,2.2307134,29.256779000119835,24.4
13,imagen_original.png,3.0,8,6.961055,2.3023949,29.126394078107392,20.166666666666668
14,imagen_original.png,3.0,16,6.9066787,2.4430242,31.13254791981862,15.933333333333334
15,imagen_original.png,3.0,32,6.9012365,2.4931276,32.171506317692916,49.8
16,imagen_original.png,3.5,8,6.98048,2.5192938,31.357101273828867,20.166666666666668
17,imagen_original.png,3.5,16,6.908026,2.6829743,33.67803817243834,20.166666666666668
18,imagen_original.png,3.5,32,6.9332824,2.7489517,34.94744455671953,253.0
19,imagen_original.png,4.0,8,7.002665,2.7362099,33.58640952413416,20.166666666666668
20,imagen_original.png,4.0,16,6.922481,2.920844,36.153060677939195,22.09090909090909
21,imagen_original.png,4.0,32,6.9249005,2.9947474,37.57864876506401,0.0
22,imagen_original.png,4.5,8,7.020863,2.9434917,35.71686502955456,20.166666666666668
23,imagen_original.png,4.5,16,6.934162,3.1546865,38.57339895140494,24.4
24,imagen_original.png,4.5,32,6.903653,3.2399683,40.1620723060698,1.0
25,imagen_original.png,5.0,8,7.0364747,3.1540914,37.85013140044466,20.166666666666668
26,imagen_original.png,5.0,16,6.950878,3.3820071,40.91871094046438,24.4
27,imagen_original.png,5.0,32,6.897755,3.4841065,42.735939529762526,1.0
